Timestamp,Day of the sale,Quantity,Month of the year ,Day of the week,Price (per item unless its a set),Card amount payed,Cash amount Payed,Product type,Beads Collections,Sterling silver collections,Gold Plated Collections,details,Zirconia Color,Mohave type,Birth Stone type,How many items in the set,Set type 
12/19/2024 15:28:52,8/31/2024,1,August,Saturday,30,30,,Sterling Silver,,Sterling Silver Rings,,,,,,,
12/19/2024 15:40:11,8/31/2024,1,August,Saturday,40,40,,Gold Plated,,,rings,Raw Stone,,,Amethyst (february),,
12/19/2024 15:27:56,9/1/2024,1,September,Sunday,45,45,,Gold Plated,,,necklaces,Mohave Stone,,Mohave emerald,,,
12/19/2024 16:00:17,9/2/2024,1,September,Monday,20,20,,Handmade / Beaded,beaded bracelets,,,,,,,,
12/19/2024 16:39:02,9/4/2024,1,September,Wednesday,50,50,,Sterling Silver,,Sterling Silver Rings,,Evil eye,,,,,
12/19/2024 16:39:56,9/4/2024,1,September,Wednesday,28,28,,Sterling Silver,,Sterling Silver Stud Earings,,Evil eye,,,,,
12/19/2024 16:41:30,9/6/2024,1,September,Friday,130,130,,Sterling Silver,,Sterling Silver Bangles,,Zirconia,white (diamond),,,,
12/19/2024 16:43:07,9/6/2024,2,September,Friday,7.5,15,,Handmade / Beaded,Earing Charms,,,dog & white heart,,,,,
12/19/2024 16:43:07,9/6/2024,1,September,Friday,7.5,15,,Handmade / Beaded,Earing Charms,,,dog & white heart,,,,,
12/19/2024 18:43:18,9/7/2024,1,September,Saturday,12,12,,Sterling Silver,,Sterling Silver Nose rings,,Zirconia,white (diamond),,,,
12/19/2024 18:44:17,9/7/2024,2,September,Saturday,7.5,15,,Handmade / Beaded,Earing Charms,,,,,,,,
12/19/2024 18:44:17,9/7/2024,1,September,Saturday,7.5,15,,Handmade / Beaded,Earing Charms,,,,,,,,
12/19/2024 18:44:17,9/7/2024,1,September,Saturday,7.5,15,,Handmade / Beaded,Earing Charms,,,,,,,,
12/1/2024 21:26:46,12/1/2024,1,December,Sunday,36,36,,Sterling Silver,,Sterling Silver Necklaces,,clover white ,,,,,
12/1/2024 21:29:22,12/1/2024,1,December,Sunday,30,30,,Sterling Silver,,Sterling Silver Bracelets,,clover white ,,,,,
12/1/2024 21:30:24,12/1/2024,1,December,Sunday,10,10,,Handmade / Beaded,beaded bracelets,,,fish eye,,,,,
